Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Rust, NPB_is_A_1.90.0, -1, 28.419677734375000000, 15.637451171875000000, 0.444274902343750000, 1.266601562500000000, 1067.65, 65.0, 69424
Rust, NPB_is_A_1.90.0, -1, 28.770874023437500000, 15.936157226562500000, 0.445434570312500000, 1.284667968750000000, 1072.25, 65.3, 69424
Rust, NPB_is_A_1.90.0, -1, 28.768676757812500000, 15.659118652343750000, 0.424316406250000000, 1.313842773437500000, 1099.76, 66.0, 69424
Rust, NPB_is_A_1.90.0, -1, 28.769042968750000000, 15.910400390625000000, 0.487670898437500000, 1.299865722656250000, 1072.38, 65.8, 69424
Rust, NPB_is_A_1.90.0, -1, 28.735473632812500000, 15.530151367187500000, 0.477966308593750000, 1.321594238281250000, 1100.76, 65.5, 69424
Rust, NPB_is_A_1.90.0, -1, 28.540283203125000000, 15.380859375000000000, 0.469604492187500000, 1.313110351562500000, 1097.76, 65.0, 69424
Rust, NPB_is_A_1.90.0, -1, 29.246704101562500000, 16.272399902343750000, 0.468078613281250000, 1.317077636718750000, 1082.63, 64.7, 69424
Rust, NPB_is_A_1.90.0, -1, 29.416748046875000000, 16.507873535156250000, 0.469604492187500000, 1.308898925781250000, 1075.27, 65.2, 69424
Rust, NPB_is_A_1.90.0, -1, 28.988342285156250000, 16.092041015625000000, 0.488281250000000000, 1.297424316406250000, 1075.05, 65.3, 69424
Rust, NPB_is_A_1.90.0, -1, 28.735534667968750000, 15.883605957031250000, 0.453613281250000000, 1.291015625000000000, 1071.99, 66.2, 69424
Rust, NPB_is_A_1.90.0, -1, 28.663024902343750000, 15.809692382812500000, 0.464050292968750000, 1.297363281250000000, 1073.87, 65.3, 69424
Rust, NPB_is_A_1.90.0, -1, 28.487121582031250000, 15.612731933593750000, 0.460754394531250000, 1.287963867187500000, 1071.8, 65.7, 69424
Rust, NPB_is_A_1.90.0, -1, 28.777038574218750000, 15.898620605468750000, 0.463500976562500000, 1.292358398437500000, 1074.78, 64.8, 69424
Rust, NPB_is_A_1.90.0, -1, 28.651916503906250000, 15.854919433593750000, 0.448608398437500000, 1.294067382812500000, 1067.85, 65.7, 69424
Rust, NPB_is_A_1.90.0, -1, 28.876464843750000000, 15.717346191406250000, 0.442321777343750000, 1.317199707031250000, 1099.15, 65.3, 69424
Rust, NPB_is_A_1.90.0, -1, 28.892333984375000000, 16.008117675781250000, 0.494628906250000000, 1.301086425781250000, 1073.77, 65.0, 69424
Rust, NPB_is_A_1.90.0, -1, 28.817016601562500000, 15.973449707031250000, 0.479431152343750000, 1.295654296875000000, 1068.58, 65.2, 69424
Rust, NPB_is_A_1.90.0, -1, 28.649536132812500000, 15.840576171875000000, 0.482177734375000000, 1.293823242187500000, 1068.62, 64.7, 69424
Rust, NPB_is_A_1.90.0, -1, 28.992248535156250000, 16.119934082031250000, 0.506469726562500000, 1.305236816406250000, 1071.78, 65.8, 69424
Rust, NPB_is_A_1.90.0, -1, 28.508605957031250000, 15.709411621093750000, 0.482360839843750000, 1.289794921875000000, 1066.32, 65.8, 69424
