Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Rust, mandelbrot_1.40.0, -1, 223.622253417968750000, 119.905151367187500000, 0.495056152343750000, 7.085388183593750000, 9071.75, 61.5, 1852
Rust, mandelbrot_1.40.0, -1, 221.340515136718750000, 117.595092773437500000, 0.138793945312500000, 6.964172363281250000, 9109.21, 61.8, 1852
Rust, mandelbrot_1.40.0, -1, 224.928161621093750000, 120.805053710937500000, 0.497192382812500000, 7.129394531250000000, 9085.98, 61.2, 1852
Rust, mandelbrot_1.40.0, -1, 220.829223632812500000, 117.633666992187500000, 0.158020019531250000, 6.929321289062500000, 9059.64, 60.8, 1852
Rust, mandelbrot_1.40.0, -1, 226.575500488281250000, 122.438964843750000000, 0.572814941406250000, 7.154296875000000000, 9102.18, 61.3, 1852
Rust, mandelbrot_1.40.0, -1, 223.855468750000000000, 120.230651855468750000, 0.151611328125000000, 6.982849121093750000, 9098.33, 61.8, 1852
Rust, mandelbrot_1.40.0, -1, 222.466979980468750000, 118.418640136718750000, 0.504150390625000000, 7.098449707031250000, 9079.37, 61.5, 1852
Rust, mandelbrot_1.40.0, -1, 223.665100097656250000, 120.267150878906250000, 0.147766113281250000, 6.949645996093750000, 9070.52, 61.3, 1852
Rust, mandelbrot_1.40.0, -1, 224.333251953125000000, 120.118713378906250000, 0.504089355468750000, 7.129333496093750000, 9106.61, 61.8, 1852
Rust, mandelbrot_1.40.0, -1, 223.113952636718750000, 119.571411132812500000, 0.153442382812500000, 6.972290039062500000, 9071.21, 61.8, 1852
Rust, mandelbrot_1.40.0, -1, 224.232116699218750000, 120.644287109375000000, 0.492919921875000000, 7.080810546875000000, 9060.33, 61.3, 1852
Rust, mandelbrot_1.40.0, -1, 223.680541992187500000, 120.116943359375000000, 0.166625976562500000, 6.967102050781250000, 9090.97, 62.0, 1852
Rust, mandelbrot_1.40.0, -1, 222.577453613281250000, 118.271789550781250000, 0.494750976562500000, 7.118286132812500000, 9104.62, 56.8, 1852
Rust, mandelbrot_1.40.0, -1, 223.041442871093750000, 119.820983886718750000, 0.090332031250000000, 6.922973632812500000, 9057.98, 61.2, 1852
Rust, mandelbrot_1.40.0, -1, 223.022399902343750000, 118.898071289062500000, 0.506835937500000000, 7.111755371093750000, 9086.39, 61.8, 1852
Rust, mandelbrot_1.40.0, -1, 224.027465820312500000, 120.145202636718750000, 0.150390625000000000, 7.004211425781250000, 9098.29, 61.2, 1852
Rust, mandelbrot_1.40.0, -1, 224.341857910156250000, 120.566406250000000000, 0.515258789062500000, 7.090209960937500000, 9075.43, 61.3, 1852
Rust, mandelbrot_1.40.0, -1, 222.938293457031250000, 119.885803222656250000, 0.167724609375000000, 6.942932128906250000, 9044.98, 61.5, 1852
Rust, mandelbrot_1.40.0, -1, 222.502990722656250000, 118.502990722656250000, 0.502258300781250000, 7.089050292968750000, 9075.63, 62.0, 1852
Rust, mandelbrot_1.40.0, -1, 222.329895019531250000, 119.034667968750000000, 0.145935058593750000, 6.936828613281250000, 9061.02, 61.0, 1852
