Version,Package,Core,GPU,DRAM,Time,Temperature,Memory
1.0.0,282.557421875,149.55399169921876,23.52388916015625,13.21142578125,9404.222,47.879999999999995,2296.0
1.6.0,282.120068359375,149.75626220703126,22.79449462890625,13.1393310546875,9413.71,47.86,2416.0
1.14.0,285.59140625,153.55955810546874,22.387841796875,13.28385009765625,9416.938,47.92,2244.0
1.23.0,281.9056640625,152.33385009765624,20.0409423828125,13.2541259765625,9406.898000000001,47.96,2272.0
1.32.0,238.0197998046875,129.05181884765625,3.980908203125,8.84912109375,9166.162,47.279999999999994,1732.0
1.40.0,220.3247802734375,116.0154052734375,0.39527587890625,7.63209228515625,9122.275999999998,46.8,1880.0
1.49.0,228.79697265625,123.53065185546875,1.1835205078125,8.04422607421875,9116.686,46.779999999999994,1964.0
1.58.0,213.03543701171876,110.20263671875,0.389013671875,7.5826171875,8987.890000000001,46.4,1920.0
1.67.0,212.20069580078126,109.374169921875,0.30518798828125,7.55223388671875,8999.334,45.94,1956.0
1.75.0,211.9761962890625,109.0338623046875,0.2992431640625,7.52958984375,9010.797999999999,45.839999999999996,1896.0
1.84.0,210.8821044921875,108.3430908203125,0.3048583984375,7.52021484375,8973.954,45.64,1820.0
1.93.0,211.35504150390625,108.62501220703125,0.3101318359375,7.56182861328125,8984.655999999999,45.839999999999996,1956.0
stable,211.161572265625,108.59476318359376,0.31790771484375,7.48016357421875,8976.019999999999,45.879999999999995,1840.0
