Language,Program,Powercap,Package,Core,GPU,DRAM,Time,Temperature,Memory
Rust, mandelbrot_stable, -1, 210.485778808593750000, 108.317810058593750000, 0.097595214843750000, 7.362060546875000000, 8964.71, 46.3, 1840
Rust, mandelbrot_stable, -1, 211.836181640625000000, 108.977783203125000000, 0.476684570312500000, 7.528564453125000000, 8988.55, 45.8, 1840
Rust, mandelbrot_stable, -1, 214.661743164062500000, 111.777770996093750000, 0.447143554687500000, 7.663696289062500000, 8977.37, 45.8, 1840
Rust, mandelbrot_stable, -1, 209.124755859375000000, 106.830017089843750000, 0.090209960937500000, 7.360534667968750000, 8975.91, 46.2, 1840
Rust, mandelbrot_stable, -1, 209.699401855468750000, 107.070434570312500000, 0.477905273437500000, 7.485961914062500000, 8973.56, 45.3, 1840
